敏感词	属性
發~~倫	
發~~輪	
發~~侖	
發~~淪	
發~~掄	
法*轮	
法*仑	
法*纶	
法*伦	
法*论	
法*抡	
法*沦	
法*論	
法*綸	
法*倫	
法*侖	
法*淪	
法*掄	
法~轮	
法~仑	
法~纶	
法~伦	
法~论	
法~抡	
法~沦	
法~論	
法~綸	
法~倫	
法~侖	
法~淪	
法~掄	
法^轮	
法^仑	
法^纶	
法^伦	
法^论	
法^抡	
法^沦	
法^論	
法^綸	
法^倫	
法^侖	
法^淪	
法^掄	
法$轮	
法$仑	
法$纶	
法$伦	
法$论	
法$抡	
法$沦	
法$論	
法$綸	
法$倫	
法$侖	
法$淪	
法$掄	
法@轮	
法@仑	
法@纶	
法@伦	
法@论	
法@抡	
法@沦	
法@論	
法@綸	
法@倫	
法@侖	
法@淪	
法@掄	
法**轮	
法**仑	
法**纶	
法**伦	
法**论	
法**抡	
法**沦	
法**論	
法**綸	
法**倫	
法**侖	
法**淪	
法**掄	
法~~轮	
法~~仑	
法~~纶	
法~~伦	
法~~论	
法~~抡	
法~~沦	
法~~論	
法~~綸	
法~~倫	
法~~侖	
法~~淪	
法~~掄	
法^^轮	
法^^仑	
法^^纶	
法^^伦	
法^^论	
法^^抡	
法^^沦	
法^^論	
法^^綸	
法^^倫	
法^^侖	
法^^淪	
法^^掄	
法$$轮	
法$$仑	
法$$纶	
法$$伦	
法$$论	
法$$抡	
法$$沦	
法$$論	
法$$綸	
法$$倫	
法$$侖	
法$$淪	
法$$掄	
法@@轮	
法@@仑	
法@@纶	
法@@伦	
法@@论	
法@@抡	
法@@沦	
法@@論	
法@@綸	
法@@倫	
法@@侖	
法@@淪	
法@@掄	
法*	c
fa轮	
法lun	
fl功	
法lg	
法x功	
法o功	
法0功	
法*功	c
法lun功	
法*轮	c
法一轮	
纶功	
伦功	
抡功	b-
沦功	
綸功	
倫功	
侖功	
淪功	
掄功	
轮公	
法一轮一功	
法十轮十功	c
法*轮*功	m
法.轮.功	c
法论功	b-
法伦功	c
法仑功	c
法沦功	c
法抡功	c
法轮工	c
法论共	c
法黁功	
发论工	
工力人	c
大纪园	c
志洪李	
李宏志	
李洪智	
李红志	
李红智	
李弘志	
洪志	b-m
宏志	b-
红志	c
鸿志	b)
屎	
艹你	c
八嘎	b-+\d,嘎
白痴	b-
变态	b-
瘪三	a
操蛋	
畜生	b-
蠢猪	b-
废物	c
二b	cm
二逼	cm
吃屎	
干你	c
干娘	b-
干您	
干他	
干她	
干它	
干我	
冈峦	b(+景阳f
狗比	c
狗日	b)mk
狗剩	c
狗屎	c
黑鬼	b-
混蛋	b-
贱货	b-fe-m
贱人	b-fcmc
烂货	b-
烂人	c
妈b	cm
妈比	
妈逼	
麻痹	b-(21)
吗比	c
吗逼	
吗的	
妈的	mk
马勒	b-
你佬	
伱妈	
你奶	
牛逼	mk
牛比	
女马	b-fc
破鞋	b)
去死	c
人渣	c
日啊	c
日你	c
日他	c
日她	c
傻b	mk
傻逼	mk
傻比	m
沙比	b-
傻瓜	
傻卵	c
牲口	a
食屎	
他妈	
她妈	
它妈	
我草	
我操	
我干	cm
我日	
无耻	b-
下贱	b)
杂种	b-fe-
智障	c
猪猡	b(
装b	ck
装逼	ck
啊无卵	c
草你妈	
草泥马	b-
操你妈	
操他妈	c
操她妈	
大卵泡	c
大卵子	c
干你妈	
干你娘	c
干他妈	
干她妈	
高丽棒	
狗娘养	c
狗日的	m
狗杂种	
龟儿子	
龟孙子	
韩国狗	b-
靠你妈	cm
老毛子	c
美国佬	cmc
米田共	b-
你老味	c
你妈逼	c
你麻痹	c
你妈的	c
你他妈	
去你妈	
去他妈	
去她妈	
日你妈	mk
赛你娘	c
驶你爸	cmc
驶你公	cm
驶你母	cmc
驶你娘	cm
他ㄇㄉ	c
他妈的	cmk
她妈的	cm
它妈的	c
小瘪三	c
小卵泡	c
小卵子	c
王八蛋	b-m
高丽棒子	c
狗娘养的	c
妈了个逼	c
侬着冈峦	cf(儂著岡巒)c
侬着卵抛	c
去你妈的	
日本鬼子	b)(2)m
日你老母	
日你奶奶	
日你祖宗	c
ㄙㄞ你爸	
ㄙㄞ你公	
ㄙㄞ你母	
ㄙㄞ你娘	c
赛你老母	
知的障害	c
ㄙㄞ你老母	
生孩子没屁眼	c
他妈ㄉ王八蛋	
卐	
屙	
4风	
9风	
9评	
9学	
g产	c
g匪	c
阿共	b-
安息	b-
奥晕	c
奥孕	c
懊运	c
八九	b-+\d,\d0403,
霸餐	c
罢参	c
霸工	c
罢课	b-
霸课	c
暴动	b(|+员.物
北韩	c
侧那	c
常委	b-(31)
车臣	c
赤匪	c
赤化	b-
仇共	b-
达赖	b(30|11)
倒台	b-
低制	c
底制	c
东突	b-
独裁	b-
毒豺	c
独夫	b-+孤,妻.妇
恶党	c
屙民	b)
反党	b-
反华	b-m
反共	b-m
分裂	2
风水	b-
高官	b-+三,
共惨	c
共铲	c
拱铲	c
共党	b-
贡挡	c
共匪	c
共狗	cm
共和	b-0414
共军	c
公头	b-
官匪	c
汉奸	b(
骸卒	c
核蛋	c
黑车	m
黄祸	b-
皇军	b-
回回	b-
疆独	cm
截访	c
戒严	b)
禁书	b-m
警匪	c
靖国	c
九风	c
九评	b-+\d
九学	c
巨商	b)
军转	b-
磕彰	c
垮台	b)+湾.阶|b
坤迈	b-fb-
救灾	b((3)|bfc
口肯	c
恐共	c
拉登	b-本·也是帽
拉凳	c
老共	c
联总	c
六四	b-+\d,\d
陆四	b-+,\d
陆肆	b(
卖国	b-fcm
灭共	
民殇	c
民竹	c
民猪	c
民珠	c
纳粹	b(+新.吸
闹事	b-
叛党	b(
叛国	
屁精	c
平反	b-(13)
奇域	c
抢尸	c
侨办	b-(12)m
亲共	c
请命	b-
情杀	c
请愿	b-+,望
人弹	cm
杀警	
上访	b-(31)0712
剩火	c
尸博	c
示威	b-
双规	b-
双开	b-
四风	c0613
贪污	b)
特供	c
特共	c
特贡	c
天皇	b0518
天浴	b-
天葬	b-
投公	c
屠城	b)
土g	c
土共	c
退党	b-m
袭警	c
洗脑	c
洗钱	b-
宪政	b-
邪党	c
信访	b|)(2)|)+华
学潮	
血书	b-
血洗	b-
掩埋	b-0712
殃视	c
一党	c
油行	c
余震	b)
灾区	b|)(3)fd
造反	b-
脏独	
脏毒	
藏独	c
藏毒	c
葬独	
藏西	c
针刺	c
政f	c
政俯	c
政腐	b-
症腐	c
正府	c
支那	b
中珙	c
中特	c
自焚	b-
自杀	b)
主权	0317
08宪	
4事件	
5毛党	
ba课	
da选	c
di制	
gc党	
zi杀	
爱国者	b(?0403
北高联	c
北京帮	c
本拉登	b-
参事室	b)
产党共	
撤职	c
大东亚	c
大使官	c
打砸抢	a
代办各	c
代办文	c
代办学	c
代办制	b-
党卫兵	b-(12)
挡中央	c
档中央	c
裆中央	c
地震局	b)
钓鱼台	b)+湾地区|b
杜鲁门	b
恩格斯	0503
儿园杀	c
法西斯	
发正念	cmc
反革命	b-(12)“革命”在靴内m
反人民	c
反政府	c
浮夸风	
港澳办	m
高自联	c
共*党	c
共c党	c
共x党	c
共残党	c
共残裆	c
共铲党	
供铲党	
供铲谠	c
供铲裆	c
工产党	c
公产党	c
共贪党	c
公开信	b-(31)
共荣圈	b-
工自联	c
狗产蛋	c
国安局	cmc
国民党	b-(31)0503
国资委	cmc
黑社会	b-(12)m
黑手党	b)m
黑五类	
华盛顿	b)+日|(3含英咀1)0503
监察部	m
检察院	b)m
六。四	
六？四	
骂四川	c
买小车	c
满洲国	b-(2-3?1)|(+伪
毛一鲜	b-mc
门安天	b-
灭中共	
民一主	c
民主墙	c
男公关	c
清华帮	c
去中央	c
人木又	c
三k党	
上海帮	c
商务部	m
上中央	
沈昌功	b-
十七大	c
十7大	
受贿罪	
水利部	m
四事件	c
塔利班	
太子党	b)
贪财物	c
讨说法	b-(12)+,拉利.律法规
天按门	c
同盟党	c
外专局	b-(32)mc
网评员	c
慰安妇	
卫生部	b)mc
维吾尔	2
伪政府	b(
五毛党	c
五毛们	c
午夜电	c
席复活	c
洗脑班	cmc
希特勒	
西藏国	f
信访局	cmc
新疆国	f
巡府媳	c
雅典娜	b((3)
一四我	c
烟草局	m
应子弹	c
愚民政	c
政治犯	b)(3)
中国猪	c
走资派	b(12)|+,遣
《动向》	
《争鸣》	
64惨案	c
64事件	c
7。22	
75事件	c
89学潮	
dl喇嘛	
jie严	
min主	c
px项目	
tui党	
you行	
zf大楼	
八九风波	c
八九事件	c
八九学潮	c
暴力执法	c
北京独立	c
北京风波	c
北京政权	c
别梦成灰	c
策没有不	c
超英赶美	c
超越红墙	c
撤销职务	b)(3)
川岛芳子	b-
打倒中共	c
打倒中国	c
大陆官方	c
大赦国际	c
代办发票	
代开发票	
丹增嘉措	c
党的喉舌	
党风日下	c
抵zhi	c
抵制中共	c
东条英机	b-
东亚共荣	c
东亚病夫	c
独夫民贼	a
对日强硬	cmc
分裂国家	c
分裂中国	c
逢8必灾	
逢八必灾	c
逢9必乱	
逢九必乱	c
封锁消息	b-(33)
腐败中国	c
冈村宁次	c
高干子女	c
高官名单	c
高官子女	c
各类文凭	c
共残主义	c
共产王朝	c
共产专制	c
供应发票	
官逼民反	amc
官商勾结	b)m
广场事件	c
国wu院	c
国际特赦	b(
国家安全	c
官僚主义	b(
光明日报	b-(31)0414m
海关总署	b((2)mc
赫鲁晓夫	b)+非组词0620
和平演变	b)0613
河蟹社会	c
喝血社会	c
红客联盟	c
红色贵族	c
红色恐怖	c
红十字会	b-+腥,议.议室
回民暴动	c
基地组织	cm
激流中国	c
集体自杀	c
戒yan	
静zuo	
靖国神社	b-+日本.毛,mc
经济犯罪	b)+分子.大恶极
巨额财产	b)
军国主义	bm
卡斯特罗	b-(21)
开除党籍	b(31)
康没有不	c
抗震救灾	b((3)fc
恐怖分子	b)(2)
劣等民族	c
六百度四	c
留党察看	a
六和谐四	c
六河蟹四	c
留四进三	c
六四动乱	c
六四风波	c
六四民运	c
六四事件	cm
六四屠城	c
六四屠杀	c
六四运动	c
六四真相	cm
六月四日	c
麦克阿瑟	0319
美国之音	
蒙哥马利	b0708
蒙古独立	m
灭亡中国	
民运人士	b-
民主党派	b)0712
墨索里尼	b0521
牛鬼蛇神	a
派系斗争	
盘古乐队	c
判处死刑	b-(12)+审,
叛逃美国	
批林批孔	b-
平反六四	
七五事件	
强制捐款	c
沁园春血	c
清华网管	c
青天白日	b(12)+,梦mc
权贵集团	c
人肉搜索	c
人肉炸弹	c
人体炸弹	b)+性体,道导弹
日本万岁	c
三个代婊	cm
三个呆婊	cm
杀害学生	c
上海独立	c
示wei	
十类人不	c
收受股票	c
税务总局	m
死刑缓期	c
贪20亿	c
贪腐财富	c
贪污腐败	b)(2)0618
田凤山。	c
天灭中共	c
屠杀学生	c
万人骚动	c
亡党亡国	b-
网络封锁	c
伪基百科	c
西藏独立	cm
西藏分裂	
西藏喇嘛	c
宪法法院	a
香港独立	cm
小额贷款	b-+,额
新华内情	cfcmc
新西游记	c
新疆暴乱	c
新疆独立	cm
新疆分裂	
形式主义	0518
学百度潮	c
学生暴动	
亚历山大	b(13)
颜色革命	c
严重违纪	c
一党独裁	
一党执政	c
一党专政	c
一党专制	c
异议人士	b)
阴间来电	c
镇压学生	c
政zhi	c
政府软弱	c
政治风波	c
政治迫害	c
知道64	c
知的障害	c
中共帝国	c
中共独裁	c
中共封锁	c
中共腐败	c
中共黑帮	c
中共解体	c
中共恐惧	c
中共任用	c
中共退党	c
中共洗脑	c
中共邪教	c
中国zf	c
中国分裂	cf
中国人权	c
中华帝国	c
中华民国	b-(12)+一.三.四.五,
中央zf	c
自fen	
自sha	
自由亚洲	
com流氓	
gong党	
gong和	
打倒共产党	
打倒胡锦涛	
打倒江泽民	
大东亚共荣	c
地富反坏右	
反对共产党	
反革命暴乱	f
反社会主义	
共产党腐败	c
共产党专制	c
共一产一党	c
九评共产党	c
来源不明罪	c
劳+教+所	m
劳动教养所	c
毛泽东复活	
明镜出版社	c
青天白日旗	c
四二六社论	c
山本五十六	b)+\d
天安门惨案	
天安门事件	0620m
天安门屠城	
天安门屠杀	m
退dang	
畏罪自杀。	c
厦门大游行	
消灭共产党	
血洗天安门	
中gong	c
中共党文化	c
中国民主党	
《中国民主》	
70天大事记	
8的平方事件	
tibet国	
剥夺政治权利	
城管暴力执法	c
打倒共产主义	
东土耳其斯坦	c
第21集团军	
共产党的报应	c
共产党的末日	c
公务员的工资	c
国家主要部委	c
回族人吃猪肉	
没收个人财产	c
人民内情真相	c
社会主义灭亡	c
世界经济导报	
坦克压大学生	
天安门大屠杀	
天安门录影带	
中共权力斗争	
中共政治游戏	c
自由亚洲电台	
川b26931	
共产主义的幽灵	c
客户端非法字符	c
政治人祸的源头	
中华昆仑女神功	c
中华养生益智功	c
中华养生益智气	c
中南海权力斗争	c
八级地震毫无预报	
北京政坛清华名人	
剥夺政治权利终身	
拉萨僧人接连抗议	
毛时代大饥荒揭秘	
没收个人全部财产	
十七大权力争霸战	
谁为腐败晚餐买单	
胰岛素样生长因子	
赞成,西藏,独立	
中共近期权力斗争	
中国高层权力斗争	
中国海外腐败兵团	
中国实行血腥教育	
中国政府封锁消息	
中南海的权力游戏	
中印边界谈判结果	
中组部前部长直言	
自由西藏学生运动	
代药物毒品类：血浆	c
东突厥斯坦解放组织	c
领导忽悠百姓叫号召	c
六四受难者家属证辞	c
四川大地震异象揭秘	c
中国舆论监督网周洪	c
中石油国家电网倒数	c
中国支配下的朝鲜经济	
纪念达赖喇嘛流亡49周年	
taidu	
taiwan	
臺	
孙文	b-
台独	b)
台军	b-
台完	b-
台弯	c
湾台	
陈水扁	0519
蒋经国	c
李登辉	b-
马英九	c
刘连昆	
民进党	c0519
宋楚瑜	amc
苏贞昌	b-
孙逸仙	
台湾狗	
台湾国	cm
登陆台湾	c
独立台湾	c
反攻大陆	b-f
攻占台湾	c
解放台湾	
解决台湾	c
两个中国	cf
收复台湾	c
台百度湾	c
台海大战	
台海危机	
台海问题	
台湾帝国	cfm
台湾独立	cfm
台湾分裂	
台湾建国	c
台湾民国	cm
台湾问题	c
台湾总统	cf
统一台湾	c
我搞台独	c
武力统一	c
一边一国	cf
一中一台	b(mc
占领台湾	c
台湾共产党	fm
台湾共和国	fm
台湾应该独立	c
台湾有权独立	c
322攻台作战计划	
陈良	b-
陈云	b-(31)
贺龙	0503mc
江八	b-mb-
江青	0411m
江贼	b-
江猪	b-mc
锦涛	b-
康生	0411
老毛	b-
老江	b-
梁湘	b-
刘刚	b)
刘军	cm
罗干	b-fcmb-
骡干	cmc
毛贼	b-
乔石	b-+乔,mb-
沈图	b-
瘟b	c
温比	b-fc
岳武	c
择民	b-
贼民	b-
张磊	b-
朱毛	b)
猪毛	c
边少斌	c
薄一波	b
陈良宇	b-
陈破空	c
陈绍基	b)
陈水文	c
陈希同	b-
成克杰	b-
程维高	c
邓力群	
邓笑贫	b)
杜世成	b-
方励之	b-
郭伯雄	b-m
韩桂芝	b-
何洪达	b-
何清涟	
侯伍杰	b-
胡启立	
胡锦涛	c0324
胡紧涛	
胡紧掏	
胡紧套	cm
胡锦滔	
胡乔木	b)+材|)(2)mc
胡耀邦	1b0710m
胡耀帮	
华国锋	fm
黄克诚	0319
回良玉	
囘良玉	
江z民	
江八条	cfc
江丑闻	
江嫡系	c
江独裁	
江蛤蟆	c
江核心	cm
江黑心	c
江祸心	c
江家帮	
江绵恒	
江人马	c
江梳头	c
江太上	c
江系人	c
江戏子	cmcfc
江宰民	b-
江泽民	b0404fmk
江择民	b-m
江则民	b-
江贼民	b-m
江折民	cm
江主席	b-m
酱猪媳	cmc
李大钊	a?0418
李纪周	b-
李嘉廷	b-
李先念	b0503
李效时	b-
李总统	c
刘方仁	c
刘国凯	
刘连昆	
刘延东	
刘晓波	f
罗云光	
马加爵	
毛厕洞	cm
毛贼东	b-m
牟新生	b+毛.牟,
倪献策	c
彭德怀	a?
钦本立	c
邱晓华	b-
宋书元	
孙鹤龄	b(
王宝森	cmc
王沪宁	
王乐毅	b-
王昭耀	b-
魏京生	
瘟宝宝	30115
温家宝	bfcdmckc
温家保	
温家堡	
温家宝	b-mc
瘟家宝	
习近平	0413
习晋平	
向忠发	
徐炳松	b-
徐才厚	b-
徐鹏航	c
许宗衡	b-
严家其	
严家祺	
阎明复	
姚文元	0411
杨汇泉	b-
于浩成	c
于幼军	b-
张辛泰	b-
赵紫阳	0518
郑光迪	b-+郑.毛,
郑筱萸	c
周恩来	b0418
周锋锁	
朱鎔基	c
朱熔基	b-
朱容基	b-
朱狨基	c
朱溶剂	c
猪容基	c
朱志刚	b)
打倒李鹏	c
打倒罗干	c
打倒朱镕	c
抵制李鹏	c
抵制罗干	c
蛤蟆转世	c
胡派人马	c
江派人马	c
江三条腿	c
江氏集团	c
江系人马	c
李月月鸟	c
吾尔开希	c
吾尔开西	c
打倒胡锦涛	
打倒江泽民	
打倒江主席	c
打倒温家宝	c
抵制胡锦涛	c
抵制江泽民	c
抵制江主席	c
抵制温家宝	c
抵制朱镕基	c
公审江泽民	cfc
胡的接班人	c
江core	cmc
江派和胡派	c
毛泽东复活	
毛泽东侄子	c
王厚宏海南	c
小泉纯一郎	b)fcmc
小犬蠢一狼	c
朱小华光大	c
胡锦涛,腐败	c
毛主席的嫡孙	c
托乎提沙比尔	b-
梁春禄广西政协	c
谁是胡的接班人	c
粪便	a
女良	
人弹	m
外挂	m
网特	
遗言	
自焚	b-
自杀	b)
海盗王	
精神病	b)
蒙汗药	
你老味	
圣女峰	m
驶你公	m
式粉推	c
兴奋剂	b)0613
抑制剂	c
硅谷动力	
汉芯造假	
每周一死	
泰兴镇中	c
在线播放	
KC嘉年华	
UP新势力	
双鞋的故事	
斯蒂芬霍金	
bbc中文网	
UP8新势力	
沈昌人体科技	c
都市2046	
3p	
av	
bi	
bj	
gm	
gn	
j8	
jb	
sb	
sm	
bnb	
cao	
cnd	
cnn	
dpp	
eve	
fag	
fku	
flg	
fuk	
gan	
gay	
gcd	
gmd	
gnn	
hdw	
job	
kao	
mbs	
mir	
mwo	
mxd	
nnd	
nmd	
npc	
rfa	
rmb	
ryl	
sex	
svs	
tmd	
voa	
wtf	
xyd	
aids	
aika	
alod	
anal	
apex	
bjzc	
boke	
bxqt	
caob	
cdjp	
cjsh	
cunt	
dafa	
damn	
damm	
dick	
duli	
eqsf	
f**k	
falu	
fofg	
fuck	
help	
hmtd	
jiba	
jinv	
kiss	
lasa	
maki	
mdma	
h1n1	
piss	
porn	
rape	
sars	
suck	
shit	
taip	
twdl	
yuce	
admin	
adult	
bitch	
bjork	
caobi	
dalai	
dizhi	
falun	
liusi	
penis	
pussy	
saobi	
secom	
shabi	
space	
sperm	
taidu	
tibet	
titor	
baozha	
biaozi	
cocain	
dragon	
fenlie	
heroin	
incest	
jieyan	
making	
taiwan	
wengan	
xiao77	
xizang	
zangdu	
zhadan	
zhayao	
androst	
amateur	
baodong	
blowjob	
boycott	
jiuping	
renquan	
suicide	
tuidang	
xuechao	
yangjia	
youtube	
youxing	
zhengfu	
cannabis	
dajiyuan	
hardcore	
ketamine	
morphine	
narcotic	
qingzhen	
sexinsex	
tokyohot	
Falundafa	
falungong	
mayingjiu	
shangfang	
tamoxifen	
wikipedia	
adrenaline	
strychnine	
diamorphine	
gongchandang	
testosterone	
googleblogger	
communistparty	
erythropoietin	
benzodiazepines	
chinesedemocracy	
diacetylmorphine	
屄	b(+傻
婊	
肏	
屌	
肛	
嫖	0613
a片	c
g点	c
爱液	b-
艾滋	c
爱滋	b-
按摩	c
包皮	b-
包养	c
暴干	c
暴菊	c
爆草	c
爆操	c
爆干	c
爆菊	c
比毛	c
逼毛	c
避孕	b)+药.期
婊子	a
波霸	c
勃起	c
不举	b-
操逼	c
插比	c
插逼	c
插进	c
插穴	c
潮吹	c
潮喷	c
成人	0627
吃精	c
赤裸	b)
抽插	b)
抽搐	c
处男	c
处女	0630
吹箫	c
春宫	c
春药	b-
刺激	0324
大波	c
打炮	b-
荡妇	b)
屌毛	c
胴体	a
发浪	c
发情	b-
放尿	c
房事	b)
风骚	b-
干爆	c
干比	c
干逼	c
干炮	c
肛交	b)
肛门	b)
肛塞	c
高潮	0630
龟公	cmc
龟头	b-(13)mc
花柳	b-mc
黄片	b-
昏迷	b)
昏药	cm
鸡八	c
鸡叭	c
鸡巴	b-
鸡吧	c
鸡芭	c
机八	c
机巴	c
机吧	
几巴	
几吧	
鸡掰	c
机掰	
鸡鸡	b-
妓女	amk
妓院	a
激情	0630
激战	b)
贱比	c
贱b	c
贱逼	c
奸杀	b-(32)
叫床	b-
巨乳	c
开苞	b-+,米
口活	c
口交	c
烂比	c
烂逼	c
滥交	c
浪叫	c
狼友	c
老鸨	b(
淋病	b)
露点	b-
乱奸	
乱交	
乱伦	c
轮奸	
裸聊	
裸体	
裸照	
卖b	cm
卖逼	cm
卖比	cm
卖身	b-
毛片	c
美乳	b-+集,
美穴	c
梅毒	
梦遗	
密洞	cm
蜜洞	b-
迷奸	
咪咪	
密穴	
蜜穴	
迷药	cm
奶头	
奶子	
奶罩	
男妓	
内裤	
内射	
内衣	
嫩逼	
嫩女	
嫩穴	
浓精	
女干	
女乃	c
女优	
炮友	
喷精	c
喷尿	
屁眼	
嫖娼	
嫖妓	b(+白.招
嫖客	
破处	b-(31)
强暴	
强奸	
情色	cmb-
犬交	
拳交	
全裸	
群p	
群交	
人妻	c
人兽	
日比	
肉棒	
肉逼	
肉洞	cm
肉穴	
肉欲	
乳房	
乳沟	
乳尖	
乳腺	
乳交	
乳头	
乳晕	
私处	
丝袜	
撒尿	m
三陪	b(+\d
骚比	
骚货	
骚穴	
色鬼	
色狼	
色猫	
色魔	
色情	
色色	c
色诱	
色欲	
少妇	
射精	b-
身寸	
呻吟	
手淫	
受精	b-
兽性	b-(21)
兽欲	
套弄	
桃色	b(
剃毛	c
天阉	b)
调教	c
同房	
偷拍	
偷情	
臀部	
吞精	
外阴	c
伟哥	b-
猥亵	
无码	
吸精	c
下体	b)
小逼	c
小便	0626
小穴	b-
写真	b-(12)
性病	b-(21)
行房	
性交	
性奴	
性虐	
性欲	
胸罩	
遗精	
阉割	a
颜射	
艳照	cf豔c
阳精	b-
阳具	
阳萎	
阳痿	
阳物	
亦凡	b-+吴,
野合	c
夜情	
阴唇	
阴道	b-+江,炎
阴蒂	
阴阜	c
阴户	
阴茎	
阴毛	
阴门	
阴囊	
淫荡	
淫妇	
淫贱	
淫叫	
淫浪	
淫乱	b-(13)
淫靡	
淫糜	
淫魔	
淫女	
淫虐	
淫肉	
淫水	
淫娃	
淫穴	
淫液	
诱奸	
幼交	
有码	
幼男	c
幼女	b(+妇
援交	
贞操	
子宫	
自慰	
走光	c
做爱	
18禁	
18摸	
包二奶	
本无码	c
避孕套	
苍蝇水	b)
插屁屁	c
插屁眼	c
成人视	c
成人图	b-
成人小	b-
春宫图	
催情药	
打飞机	c
大鸡巴	
大阳具	
东京热	cf
钢管舞	
国家妓	c
红灯区	c
金瓶梅	a
伦理片	
迷情水	c
迷魂水	c
肉便器	
肉蒲团	
三级片	
色情片	
十八摸	b-+\d,mc
失身水	
受虐狂	
汤加丽	
同性恋	
脱衣舞	
玩女人	c
小电影	c
小鸡鸡	
性高潮	b)(2)|-(21)
性虐待	cmc
性生活	
性无能	cmc
学生妹	
艳照门	cf(豔艷)
一夜情	
玉蒲团	
张筱雨	
成人电影	c
成人激情	c
成人论坛	c
成人漫画	c
成人色情	
成人视频	c
成人图片	c
成人网站	c
成人小说	c
成人影院	c
成人游戏	c
夫妻交换	c
弓虽女干	cm
黄金圣水	c
黄色电影	cm
黄色漫画	
黄色图片	c
黄色网站	
黄色小说	c
极品白虎	c
金枪不倒	b-
激情电影	b-
激情论坛	
激情裸聊	c
激情视频	
激情小说	
激情网站	
激情在线	c
母子乱伦	
强奸处女	
情趣用品	b)
情色成人	
情色电影	
情色论坛	
情色图片	c
青色影院	
日本女优	c
色情表演	
色情电影	
色情图片	b(
色情小说	
色情网站	
色情影片	c
身寸米青	c
无套内射	c
先奸后杀	
新金瓶梅	
援助交际	
夜勤病栋	
欲火焚身	b-m
制服诱惑	c
成人小电影	
很黄很暴力	c
黄色小电影	
激情小电影	
情色小电影	
金鳞岂是池中物	
金麟岂是池中物	
包办色情娱乐服务	
变牌	c
博彩	c
抽头	b)
赌博	b)
赌具	b-
赌马	b-
赌球	c
黑庄	b)
盘口	b-
赔率	c
特码	cmc
庄家	0630
百家乐	b-
赌博机	b)
老虎机	b)
六合彩	cmc
六合采	b-
轮盘赌	c
手变牌	c
3D轮盘	
彩票预测	c
一码中特	c
俄罗斯轮盘	c
k粉	
冰毒	c
大麻	b)
毒贩	
贩毒	
嗑药	c
磕药	c
吗啡	
麻古	b-
吸毒	0503
鸦片	m
大麻油	c
海洛因	m
咖啡因	0618
可待因	b-m
可卡因	0620m
麦角酸	c
迷幻药	b(12)fc
鸦片渣	cmc
摇头丸	m
罂粟壳	b)
致幻剂	b-
新型毒品	c
甲基苯丙胺	a
二乙基酰胺	c
安拉	0418
护法	b-
回教	1006m
密宗	
教徒	b-
圣战	b-
文殊	b-
邪教	m
耶稣	a?m
福音会	
观世音	bm
摩门教	m
穆斯林	m
统一教	b-
伊斯兰	m
诸世纪	
观音法门	
济世灵文	
真主安拉	c
中国教徒	
个人圆满说	
清海无上师	
青海无上师	
神通加持法	
圣灵重建教会	c
苯丙胺	
杜冷丁	
麻醉药	
氰化钾	b(+铁
氰化钠	
硝化甘	
安非他命	
福尔马林	
西布曲明	
三硝基甲苯	
芬太尼	
美沙酮	
動	b-+會
獨	b(+單
糞	
雞	e-
